Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records,,,,,,,,,,,,,,,,,,
1,RECTYPE,Record type (1=mainstream school; 2=special school; 4=local authority; 5=National (all schools); 7=National (maintained schools)),,,,,,,,,,,,,,,,,,,,,,,
2,ALPHAIND,Alphabetic sorting index,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
3,LEA,Local authority code (see separate list of local authorities and their codes),,,,Yes,Yes,,,,,,,,,,,,,,,,,,
4,ESTAB,Establishment number,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
5,URN,School Unique Reference Number,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
6,SCHNAME,School name,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
7,SCHNAME_AC,School now known as (used if the school has converted to an academy on or after 12 Sept 2015),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
8,ADDRESS1,School address (1),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
9,ADDRESS2,School address (2),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
10,ADDRESS3,School address (3),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
11,TOWN,School town,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
12,PCODE,School postcode,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
13,TELNUM,School telephone number,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
14,CONTFLAG,Contingency flag - school results 'significantly affected'. This field is zero for all schools.,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
15,ICLOSE,Closed school flag (0=open; 1=closed),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
16,NFTYPE,School type (see separate list of abbreviations used in the tables),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
17,RELDENOM,School religious character,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
18,ADMPOL,School admissions policy (self-declared by schools on Edubase),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
19,ADMPOL_2017,School admissions policy as in KS4 SFR from 2017 onwards See 'abbrevations' document for more informaton.,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
20,EGENDER,School gender of entry,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
21,FEEDER,Indicates whether school is a feeder school for sixth form centre/consortia (0=No; 1=Yes),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
22,TABKS2,Indicates whether school is published in the primary school (key stage 2) performance tables (0=No; 1=Yes),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
23,TAB1618,Indicates whether school is published in the school and college (16-18) performance tables (0=No; 1=Yes),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
24,AGERANGE,Age range,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
25,CONFEXAM,Indicates whether the school has checked its results (R=No; blank=Yes),,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
26,TOTPUPS,Number of pupils on roll (all ages),,,,,,,,,,,,,,,,,,,,,,,
27,NUMBOYS,Total boys on roll (including part-time pupils),,,,,,,,,,,,,,,,,,,,,,,
28,NUMGIRLS,Total girls on roll (including part-time pupils),,,,,,,,,,,,,,,,,,,,,,,
29,TPUP,Number of pupils at the end of key stage 4,,,,,,,,,,,,,,,,,,,,,,,
30,BPUP,Number of boys at the end of key stage 4,,,,,,,,,,,,,,,,,,,,,,,
31,PBPUP,Percentage of pupils at the end of key stage 4 who are boys,,,,,,,,,,,,,,,,,,,,,,,
32,GPUP,Number of girls at the end of key stage 4,,,,,,,,,,,,,,,,,,,,,,,
33,PGPUP,Percentage of pupils at the end key stage 4 who are girls,,,,,,,,,,,,,,,,,,,,,,,
34,KS2APS,Key stage 2 Average Points Score of the cohort at the end of key stage 4,,,,Yes,,,,,,,,,,,,,,,,,,,
35,TPRIORLO,Number of pupils at the end of key stage 4 with low prior attainment at the end of key stage 2,,,,Yes,,,,,,,,,,,,,,,,,,,
36,PTPRIORLO,Percentage of pupils at the end of key stage 4 with low prior attainment at the end of key stage 2,,,,Yes,,,,,,,,,,,,,,,,,,,
37,TPRIORAV,Number of pupils at the end of key stage 4 with middle prior attainment at the end of key stage 2,,,,Yes,,,,,,,,,,,,,,,,,,,
38,PTPRIORAV,Percentage of pupils at the end of key stage 4 with middle prior attainment at the end of key stage 2,,,,Yes,,,,,,,,,,,,,,,,,,,
39,TPRIORHI,Number of pupils at the end of key stage 4 with high prior attainment at the end of key stage 2,,,,Yes,,,,,,,,,,,,,,,,,,,
40,PTPRIORHI,Percentage of pupils at the end of key stage 4 with high prior attainment at the end of key stage 2,,,,Yes,,,,,,,,,,,,,,,,,,,
41,TFSM6CLA1A,Number of disadvantaged pupils at the end of key stage 4,,,,Yes,,,,,,,,,,,,,,,,,,,
42,PTFSM6CLA1A,Percentage of pupils at the end of key stage 4 who are disadvantaged,,,,Yes,,,,,,,,,,,,,,,,,,,
43,TNOTFSM6CLA1A,Number of non-disadvantaged pupils at the end of key stage 4,,,,Yes,,,,,,,,,,,,,,,,,,,
44,PTNOTFSM6CLA1A,Percentage of pupils at the end of key stage 4 who are not disadvantaged,,,,Yes,,,,,,,,,,,,,,,,,,,
45,TEALGRP2,Number of pupils at the end of key stage 4 with English as additional language (EAL),,,,Yes,,,,,,,,,,,,,,,,,,,
46,PTEALGRP2,Percentage of pupils at the end of key stage 4 with English as additional language (EAL),,,,Yes,,,,,,,,,,,,,,,,,,,
47,TEALGRP1,Number of pupils at the end of key stage 4 with English as their first language,,,,Yes,,,,,,,,,,,,,,,,,,,
48,PTEALGRP1,Percentage of pupils at the end of key stage 4 with English as their first language,,,,Yes,,,,,,,,,,,,,,,,,,,
49,TEALGRP3,Number of pupils at the end of key stage 4 whose first language is unclassified,,,,Yes,,,,,,,,,,,,,,,,,,,
50,PTEALGRP3,Percentage of pupils at the end of key stage 4 whose first language is unclassified,,,,Yes,,,,,,,,,,,,,,,,,,,
51,TNMOB,Number of pupils at the end of key stage 4 who are non-mobile,,,,Yes,,,,,,,,,,,,,,,,,,,
52,PTNMOB,Percentage of pupils at the end of key stage 4 who are non-mobile,,,,Yes,,,,,,,,,,,,,,,,,,,
53,SENSE4,"Number of pupils at the end of key stage 4 with special educational needs (SEN) with a statement or Education, health and care (EHC) plan",,Yes,,Yes,,,,,,,,,,,,,,,,,,,
54,PSENSE4,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) with a statement or Education, health and care (EHC) plan",,Yes,,Yes,,,,,,,,,,,,,,,,,,,
55,SENAPK4,"Number of pupils at the end of key stage 4 with special educational needs (SEN) without a statement or Education, health and care (EHC) plan",,Yes,,Yes,,,,,,,,,,,,,,,,,,,
56,PSENAPK4,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) without a statement or Education, health and care (EHC) plan",,Yes,,Yes,,,,,,,,,,,,,,,,,,,
57,TOTATT8,Total sum of Attainment 8 scores,,,,,,,,,,,,,,,,,,,,,,,
58,ATT8SCR,Average Attainment 8 score per pupil,,,,,,,,,,,,,,,,,,,,,,,
59,TOTATT8ENG,Total sum of Attainment 8 scores for English element,,,,,,,,,,,,,,,,,,,,,,,
60,ATT8SCRENG,Average Attainment 8 score per pupil for English element,,,,,,,,,,,,,,,,,,,,,,,
61,TOTATT8MAT,Total sum of Attainment 8 scores for mathematics element,,,,,,,,,,,,,,,,,,,,,,,
62,ATT8SCRMAT,Average Attainment 8 score per pupil for mathematics element,,,,,,,,,,,,,,,,,,,,,,,
63,TOTATT8EBAC,Total sum of Attainment 8 scores for EBacc element,,,,,,,,,,,,,,,,,,,,,,,
64,ATT8SCREBAC,Average Attainment 8 score per pupil for EBacc element,,,,,,,,,,,,,,,,,,,,,,,
65,TOTATT8OPEN,Total sum of Attainment 8 scores for open element,,,,,,,,,,,,,,,,,,,,,,,
66,ATT8SCROPEN,Average Attainment 8 score per pupil for open element,,,,,,,,,,,,,,,,,,,,,,,
67,TOTATT8OPENG,Total sum of Attainment 8 scores for open element - GCSE only,,,,,,,,,,,,,,,,,,,,,,,
68,ATT8SCROPENG,Average Attainment 8 score per pupil for open element - GCSE only,,,,,,,,,,,,,,,,,,,,,,,
69,TOTATT8OPENNG,Total sum of Attainment 8 scores for open element - non-GCSE only,,,,,,,,,,,,,,,,,,,,,,,
70,ATT8SCROPENNG,Average Attainment 8 score per pupil for open element - non-GCSE only,,,,,,,,,,,,,,,,,,,,,,,
71,AVGEBACFILL,Average number of EBacc slots filled in Attainment 8 per pupil,,,,,,,,,,,,,,,,,,,,,,,
72,AVGOPENFILL,Average number of Open slots filled in Attainment 8 per pupil,,,,,,,,,,,,,,,,,,,,,,,
73,P8PUP,Number of pupils included in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
74,P8MEACOV,Percentage of pupils at the end of key stage 4 included in Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
75,P8MEA,Progress 8 measure,,,,Yes,,,,,,,,,,,,,,,,,,,
76,P8CILOW,Lower 95% confidence interval for Progress 8 measure,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
77,P8CIUPP,Upper 95% confidence interval for Progress 8 measure,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
78,P8MEAENG,Progress 8 measure for English element,,,,Yes,,,,,,,,,,,,,,,,,,,
79,P8MEAENG_CILOW,Lower 95% confidence interval for Progress 8 English element,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
80,P8MEAENG_CIUPP,Upper 95% confidence interval for Progress 8 English element,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
81,P8MEAMAT,Progress 8 measure for mathematics element,,,,Yes,,,,,,,,,,,,,,,,,,,
82,P8MEAMAT_CILOW,Lower 95% confidence interval for Progress 8 maths element,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
83,P8MEAMAT_CIUPP,Upper 95% confidence interval for Progress 8 maths element,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
84,P8MEAEBAC,Progress 8 measure for EBacc element,,,,Yes,,,,,,,,,,,,,,,,,,,
85,P8MEAEBAC_CILOW,Lower 95% confidence interval for Progress 8 EBacc element,,,,Yes,Yes,,,,,,,,,,,,,,,,,,
